Dia;Mes;Ano;Cota;Precip1;Precip2;Precip3
19;9;2001;61.5;0;0;0
20;9;2001;57;0;0;0
21;9;2001;55.5;0;0;0
22;9;2001;55;0;0;0
23;9;2001;55;0;0;0
24;9;2001;55;1.178887606;0.856798887;0
25;9;2001;66;0;0;0
26;9;2001;61.5;9.182914734;0.999598622;5.48713398
27;9;2001;58.5;0;0;0
28;9;2001;60;12.16115665;6.997190475;3.007371426
29;9;2001;63.5;0;6.711590767;3.271176338
30;9;2001;61.5;0;0;0
1;10;2001;59.5;1.551167846;1.665997744;5.856460571
2;10;2001;58;0;0;0.844174504
3;10;2001;61.5;0;0.026588678;0.411119759
4;10;2001;57;0;2.286626339;3.625328541
5;10;2001;56;0;0;0
6;10;2001;67;0;0;0
7;10;2001;68;0;6.673758507;2.840463638
8;10;2001;64.5;2.254127026;3.642649174;1.457606316
9;10;2001;73.5;13.40291691;3.509705544;2.092973232
10;10;2001;89;2.345510483;0;0
11;10;2001;56;31.67962265;45.46663666;21.75196838
12;10;2001;78.5;0;0;0
13;10;2001;113;3.13750124;4.466897964;0
14;10;2001;73;22.66311264;37.46345139;46.68078232
15;10;2001;79.5;11.48386383;7.019411087;5.008185863
16;10;2001;78;0;1.488965869;4.44756794
17;10;2001;85.5;5.604856014;0;0
18;10;2001;81;12.39769745;12.04467106;6.876912117
19;10;2001;78.5;6.579613686;10.50252819;7.624402046
20;10;2001;71.5;18.76408386;2.286626339;6.876912117
21;10;2001;67.5;4.87378788;1.409199953;4.522316933
22;10;2001;67;0;0;0
23;10;2001;65.5;13.61614513;21.16458893;17.71552277
24;10;2001;56.5;0;0;0
25;10;2001;53;0;0;0
26;10;2001;52.5;0;0;0
27;10;2001;58;0;0;0
28;10;2001;57;0;0;0
29;10;2001;57.5;0;0;0
30;10;2001;58;0.030461174;0.452007562;3.288958073
31;10;2001;61;0.335072935;0.611539602;2.391969204
1;11;2001;66.5;5.939929008;0.904015124;0
2;11;2001;115.5;14.56044197;19.32997131;5.232433319
3;11;2001;76;4.396958351;7.20537281;0.867646992
4;11;2001;55.5;5.719620228;0;1.433503628
5;11;2001;53;12.04694939;14.52047157;10.78900146
6;11;2001;64.5;6.93503952;6.693315506;4.225063324
7;11;2001;57;9.97358799;13.9718399;17.73017693
8;11;2001;64.5;0;8.083184242;0
9;11;2001;91.5;32.38734818;24.06667709;21.12531662
10;11;2001;62;11.58223152;6.985919476;12.33567619
11;11;2001;51;1.858876467;0;0.113171339
12;11;2001;54.5;0.607709646;0;0.641304255
13;11;2001;62;0.1429905;0;17.31521416
14;11;2001;56.5;0.21448575;1.975076675;2.565217018
15;11;2001;71;2.35934329;2.59686017;0.754475594
16;11;2001;68.5;0;0;0
17;11;2001;96.5;7.006535053;1.755623817;3.508311749
18;11;2001;100;15.69320774;23.11571121;34.51726151
19;11;2001;170;2.538081408;0.402330458;0.226342678
20;11;2001;210.5;4.968919754;18.06829453;14.82544613
21;11;2001;116.5;32.5303421;29.29697227;28.21738815
22;11;2001;107.5;0.893690705;1.499595404;0.565856695
23;11;2001;73;10.29531574;0.804660916;13.84462738
24;11;2001;54;10.43830681;3.730700493;6.978899956
25;11;2001;60.5;0;0;0
26;11;2001;92;0;0;0
27;11;2001;86;9.90209198;6.839617729;6.865728378
28;11;2001;89.5;4.110977173;13.09402752;4.300510883
29;11;2001;100;25.70254135;13.13060379;9.921354294
30;11;2001;77;8.472187042;8.192911148;18.63554764
1;12;2001;102;26.48898888;15.94691563;9.204603195
2;12;2001;71;7.328262806;15.87376404;8.072889328
3;12;2001;70;0;0;0
4;12;2001;101.5;1.430752277;4.448690414;27.68018532
5;12;2001;193.5;8.822973251;19.99663925;14.7842598
6;12;2001;131;24.89509201;45.16094971;21.96913338
7;12;2001;192.5;15.64289284;19.7719574;11.09970951
8;12;2001;243;6.390694141;22.91749573;34.22026443
9;12;2001;209.5;49.83787155;30.01742554;17.0871048
10;12;2001;184.5;21.74743652;15.72769356;7.276987076
11;12;2001;293;28.99658203;24.62507439;30.07514381
12;12;2001;320;1.478444099;19.72702026;7.8757267
13;12;2001;345;4.196873665;3.05566597;2.901583433
14;12;2001;302;14.83213234;54.23807526;26.71299171
15;12;2001;222;31.61962509;13.61568832;7.553328514
16;12;2001;213;5.627625942;3.100602627;5.250484467
17;12;2001;221;4.244565487;5.167670727;4.651744843
18;12;2001;222.5;9.96757412;3.145538807;14.87637329
19;12;2001;242;1.430752277;3.145538807;0.782967031
20;12;2001;374;12.68600464;9.885978699;12.94198322
21;12;2001;366;17.93209648;22.15357971;25.93002319
